decision,bucket,line,date,assigned_lbs
69d6750d740f4466923909ca:69d525b326e89ce8aed89b3a,69d525b326e89ce8aed89b3a,VBS-DB20,2026-04-17,36929.4
69d6750d740f4466923909ca:69d525b326e89ce8aed89b3a,69d525b326e89ce8aed89b3a,VBS-DB20,2026-04-18,647.607
69d6750d740f4466923909ca:69d525b326e89ce8aed89b3a,69d525b326e89ce8aed89b3a,VBS-DB20,2026-04-20,49143.427
69d6750d740f4466923909ca:69d525b326e89ce8aed89b3a,69d525b326e89ce8aed89b3a,VBS-DB20,2026-04-22,36929.4
69d6750d740f4466923909ca:69d525b326e89ce8aed89b3a,69d525b326e89ce8aed89b3a,VBS-DB20,2026-04-23,60929.4
69d6750d740f4466923909ca:69d525b326e89ce8aed89b3a,69d525b326e89ce8aed89b3a,VBS-DB20,2026-04-24,60929.4
69d6750d740f4466923909ca:69d525b326e89ce8aed89b3a,69d525b326e89ce8aed89b3a,VBS-DB20,2026-04-25,43893.33
69d6750d740f4466923909ca:69d525b326e89ce8aed89b3a,69d525b326e89ce8aed89b3a,VBS-DB20,2026-04-27,36564.51
69d6750d740f4466923909ca:69d525b326e89ce8aed89b3a,69d525b326e89ce8aed89b3a,VBS-DB20,2026-04-28,29278.467
69d6750d740f4466923909ca:69d525b326e89ce8aed89b3a,69d525b326e89ce8aed89b3a,VBS-DB20,2026-04-29,60929.4
69d6750d740f4466923909ca:69d525b326e89ce8aed89b3a,69d525b326e89ce8aed89b3a,VBS-DB20,2026-04-30,60929.4
69d6750d740f4466923909ca:69d525bd26e89ce8aed89b3b,69d525bd26e89ce8aed89b3b,VBS-DB20,2026-04-17,6963.93
69d6750d740f4466923909ca:69d525bd26e89ce8aed89b3b,69d525bd26e89ce8aed89b3b,VBS-DB20,2026-04-18,48495.82
69d6750d740f4466923909ca:69d525bd26e89ce8aed89b3b,69d525bd26e89ce8aed89b3b,VBS-DB20,2026-04-21,48495.82
69d6750d740f4466923909ca:69d525bd26e89ce8aed89b3b,69d525bd26e89ce8aed89b3b,VBS-DB20,2026-04-22,6963.93
69d6750d740f4466923909ca:69d525bd26e89ce8aed89b3b,69d525bd26e89ce8aed89b3b,VBS-DB20,2026-04-23,12214.027
69d6750d740f4466923909ca:69d525bd26e89ce8aed89b3b,69d525bd26e89ce8aed89b3b,VBS-DB20,2026-04-24,750.167
69d6750d740f4466923909ca:69d525bd26e89ce8aed89b3b,69d525bd26e89ce8aed89b3b,VBS-DB20,2026-04-27,48495.82
69d6750d740f4466923909ca:69d525bd26e89ce8aed89b3b,69d525bd26e89ce8aed89b3b,VBS-DB20,2026-04-28,48495.82
69d6750d740f4466923909ca:69d525bd26e89ce8aed89b3b,69d525bd26e89ce8aed89b3b,VBS-DB20,2026-04-29,6963.93
69d6750d740f4466923909ca:69d525bd26e89ce8aed89b3b,69d525bd26e89ce8aed89b3b,VBS-DB20,2026-04-30,12214.027
69d6750d740f4466923909ca:69d525ca26e89ce8aed89b3c,69d525ca26e89ce8aed89b3c,VBS-DB20,2026-04-17,28630.86
69d6750d740f4466923909ca:69d525ca26e89ce8aed89b3c,69d525ca26e89ce8aed89b3c,VBS-DB20,2026-04-18,28630.86
69d6750d740f4466923909ca:69d525ca26e89ce8aed89b3c,69d525ca26e89ce8aed89b3c,VBS-DB20,2026-04-20,28630.86
69d6750d740f4466923909ca:69d525ca26e89ce8aed89b3c,69d525ca26e89ce8aed89b3c,VBS-DB20,2026-04-21,28630.86
69d6750d740f4466923909ca:69d525ca26e89ce8aed89b3c,69d525ca26e89ce8aed89b3c,VBS-DB20,2026-04-22,28630.86
69d6750d740f4466923909ca:69d525ca26e89ce8aed89b3c,69d525ca26e89ce8aed89b3c,VBS-DB20,2026-04-23,4630.86
69d6750d740f4466923909ca:69d525ca26e89ce8aed89b3c,69d525ca26e89ce8aed89b3c,VBS-DB20,2026-04-24,28630.86
69d6750d740f4466923909ca:69d525ca26e89ce8aed89b3c,69d525ca26e89ce8aed89b3c,VBS-DB20,2026-04-25,28630.86
69d6750d740f4466923909ca:69d525ca26e89ce8aed89b3c,69d525ca26e89ce8aed89b3c,VBS-DB20,2026-04-29,17167.0
69d6750d740f4466923909ca:69d525ca26e89ce8aed89b3c,69d525ca26e89ce8aed89b3c,VBS-DB20,2026-04-30,4630.86
69d6750d740f4466923909ca:69d525d526e89ce8aed89b3d,69d525d526e89ce8aed89b3d,VBS-DB20,2026-04-17,12536.14
69d6750d740f4466923909ca:69d525d526e89ce8aed89b3d,69d525d526e89ce8aed89b3d,VBS-DB20,2026-04-18,12536.14
69d6750d740f4466923909ca:69d525d526e89ce8aed89b3d,69d525d526e89ce8aed89b3d,VBS-DB20,2026-04-20,12536.14
69d6750d740f4466923909ca:69d525d526e89ce8aed89b3d,69d525d526e89ce8aed89b3d,VBS-DB20,2026-04-21,7933.65
69d6750d740f4466923909ca:69d525d526e89ce8aed89b3d,69d525d526e89ce8aed89b3d,VBS-DB20,2026-04-22,12536.14
69d6750d740f4466923909ca:69d525d526e89ce8aed89b3d,69d525d526e89ce8aed89b3d,VBS-DB20,2026-04-23,12536.14
69d6750d740f4466923909ca:69d525d526e89ce8aed89b3d,69d525d526e89ce8aed89b3d,VBS-DB20,2026-04-25,12536.14
69d6750d740f4466923909ca:69d525d526e89ce8aed89b3d,69d525d526e89ce8aed89b3d,VBS-DB20,2026-04-28,12536.14
69d6750d740f4466923909ca:69d525d526e89ce8aed89b3d,69d525d526e89ce8aed89b3d,VBS-DB20,2026-04-30,12536.14
69d6750d740f4466923909ca:69d525df26e89ce8aed89b3e,69d525df26e89ce8aed89b3e,VBS-DB20,2026-04-17,5250.097
69d6750d740f4466923909ca:69d525df26e89ce8aed89b3e,69d525df26e89ce8aed89b3e,VBS-DB20,2026-04-21,5250.097
69d6750d740f4466923909ca:69d525df26e89ce8aed89b3e,69d525df26e89ce8aed89b3e,VBS-DB20,2026-04-22,5250.097
69d6750d740f4466923909ca:69d525df26e89ce8aed89b3e,69d525df26e89ce8aed89b3e,VBS-DB20,2026-04-25,5250.097
69d6750d740f4466923909ca:69d525df26e89ce8aed89b3e,69d525df26e89ce8aed89b3e,VBS-DB20,2026-04-27,5250.097
69d6750d740f4466923909ca:69d525df26e89ce8aed89b3e,69d525df26e89ce8aed89b3e,VBS-DB20,2026-04-29,5250.097
69d6750d740f4466923909f4:69d525b326e89ce8aed89b3a,69d525b326e89ce8aed89b3a,VBS-DSI888,2026-04-18,36281.793
69d6750d740f4466923909f4:69d525b326e89ce8aed89b3a,69d525b326e89ce8aed89b3a,VBS-DSI888,2026-04-21,60929.4
69d6750d740f4466923909f4:69d525b326e89ce8aed89b3a,69d525b326e89ce8aed89b3a,VBS-DSI888,2026-04-25,17036.07
69d6750d740f4466923909f4:69d525b326e89ce8aed89b3a,69d525b326e89ce8aed89b3a,VBS-DSI888,2026-04-27,24364.89
69d6750d740f4466923909f4:69d525b326e89ce8aed89b3a,69d525b326e89ce8aed89b3a,VBS-DSI888,2026-04-28,31650.933
69d6750d740f4466923909f4:69d525bd26e89ce8aed89b3b,69d525bd26e89ce8aed89b3b,VBS-DSI888,2026-04-17,41531.89
69d6750d740f4466923909f4:69d525bd26e89ce8aed89b3b,69d525bd26e89ce8aed89b3b,VBS-DSI888,2026-04-20,48495.82
69d6750d740f4466923909f4:69d525bd26e89ce8aed89b3b,69d525bd26e89ce8aed89b3b,VBS-DSI888,2026-04-22,41531.89
69d6750d740f4466923909f4:69d525bd26e89ce8aed89b3b,69d525bd26e89ce8aed89b3b,VBS-DSI888,2026-04-23,36281.793
69d6750d740f4466923909f4:69d525bd26e89ce8aed89b3b,69d525bd26e89ce8aed89b3b,VBS-DSI888,2026-04-24,23745.653
69d6750d740f4466923909f4:69d525bd26e89ce8aed89b3b,69d525bd26e89ce8aed89b3b,VBS-DSI888,2026-04-25,48495.82
69d6750d740f4466923909f4:69d525bd26e89ce8aed89b3b,69d525bd26e89ce8aed89b3b,VBS-DSI888,2026-04-29,41531.89
69d6750d740f4466923909f4:69d525bd26e89ce8aed89b3b,69d525bd26e89ce8aed89b3b,VBS-DSI888,2026-04-30,36281.793
69d6750d740f4466923909f4:69d525ca26e89ce8aed89b3c,69d525ca26e89ce8aed89b3c,VBS-DSI888,2026-04-27,28630.86
69d6750d740f4466923909f4:69d525ca26e89ce8aed89b3c,69d525ca26e89ce8aed89b3c,VBS-DSI888,2026-04-28,28630.86
69d6750d740f4466923909f4:69d525d526e89ce8aed89b3d,69d525d526e89ce8aed89b3d,VBS-DSI888,2026-04-24,12536.14
69d6750d740f4466923909f4:69d525df26e89ce8aed89b3e,69d525df26e89ce8aed89b3e,VBS-DSI888,2026-04-18,5250.097
69d6750d740f4466923909f4:69d525df26e89ce8aed89b3e,69d525df26e89ce8aed89b3e,VBS-DSI888,2026-04-23,5250.097
69d6750d740f4466923909f4:69d525df26e89ce8aed89b3e,69d525df26e89ce8aed89b3e,VBS-DSI888,2026-04-24,5250.097
69d6750d740f4466923909f4:69d525df26e89ce8aed89b3e,69d525df26e89ce8aed89b3e,VBS-DSI888,2026-04-30,5250.097
69d6750d740f4466923909f5:69d525b326e89ce8aed89b3a,69d525b326e89ce8aed89b3a,VBS-DSI884,2026-04-17,24000.0
